Fecha,Medicamento,Consumo Historico,Inventario Actual,Brote Enfermedad (0/1),Nivel de Ingresos (Bajo/Medio/Alto),Desabastecimiento (0/1),Demanda historica,Tiempo de entrega (di­as),Estacionalidad,Costo del medicamento,Categori­a del medicamento
2021-02-10,Metformina,383,751,0,Medio,0,341,20,0.9750253497524118,89,Antihipertensivo
2023-03-06,Aspirina,368,980,0,Alto,0,309,27,0.9053994418328335,57,Antibiotico
2023-08-22,Omeprazol,350,552,0,Bajo,0,153,26,1.1179719053843296,81,Antibiotico
2023-01-01,Losartan,133,448,0,Medio,0,207,28,1.1063570112544183,99,Antihipertensivo
2023-06-22,Amoxicilina,443,799,0,Medio,0,373,27,1.1086288634482684,75,Antihipertensivo
2023-09-26,Paracetamol,465,937,0,Medio,0,353,26,0.8519360982120985,64,Antibiotico
2023-03-28,Metformina,347,211,0,Medio,0,300,22,0.893555368928961,64,Antiinflamatorio
2021-08-06,Ibuprofeno,79,813,0,Bajo,0,360,10,0.9860391904543926,28,Antihipertensivo
2022-09-23,Loratadina,393,344,0,Bajo,0,302,28,1.0605237312948295,38,Antibiotico
2021-11-25,Simvastatina,276,748,0,Bajo,0,152,11,0.9860112319464338,68,Antihipertensivo
2021-11-08,Paracetamol,498,458,0,Bajo,0,493,10,1.0065444537036896,44,Antibiotico
2022-01-10,Loratadina,476,538,0,Medio,0,205,22,0.8027691210685873,56,Antibiotico
2021-08-03,Amoxicilina,368,120,0,Medio,0,222,23,1.1930571816858573,29,Analgesico
2024-06-28,Losartan,53,395,0,Medio,0,137,2,0.8220464893163948,52,Antihipertensivo
2024-05-12,Loratadina,463,102,1,Alto,0,413,3,0.9464078101694647,36,Antiinflamatorio
2021-03-01,Loratadina,194,490,0,Bajo,0,475,11,1.191793906871471,77,Antibiotico
2023-09-07,Omeprazol,197,198,1,Medio,0,493,11,1.112864642155735,50,Antihipertensivo
2023-05-16,Paracetamol,477,832,0,Bajo,0,234,17,1.1577514105963023,95,Antibiotico
2024-05-24,Ibuprofeno,112,237,0,Medio,0,227,9,1.1617466425159273,37,Analgesico
2021-06-03,Simvastatina,425,379,0,Bajo,0,308,20,1.1694768959509856,21,Antibiotico
2022-12-02,Aspirina,110,726,0,Alto,0,448,10,1.1162557416556065,15,Antibiotico
2022-06-23,Loratadina,208,930,0,Alto,0,157,25,1.1050395160119884,31,Analgesico
2021-04-08,Simvastatina,186,907,0,Medio,0,296,11,1.1596213553387145,26,Analgesico
2021-03-05,Ibuprofeno,141,603,0,Alto,0,496,22,0.8278992252208591,95,Analgesico
2021-07-30,Amoxicilina,362,704,0,Medio,0,394,2,1.1577028423802809,10,Antibiotico
2023-11-03,Salbutamol,296,153,0,Alto,0,279,19,1.0306583186785823,54,Antihipertensivo
2023-08-09,Aspirina,209,969,0,Medio,0,431,18,0.9747755402204726,66,Antibiotico
2022-07-31,Loratadina,69,665,0,Alto,0,307,20,1.0625067955822372,69,Antiinflamatorio
2023-02-27,Losartan,199,771,0,Bajo,0,499,1,0.8238978548863845,87,Antihipertensivo
2021-01-28,Omeprazol,82,664,0,Medio,0,337,4,1.1981376534888781,20,Antibiotico
2022-08-24,Amoxicilina,490,261,0,Bajo,0,163,24,1.0525175409400476,95,Antihipertensivo
2023-03-18,Salbutamol,437,631,0,Medio,0,231,5,0.9138727922395514,16,Analgesico
2021-01-12,Aspirina,381,155,0,Medio,0,413,26,1.0510416534685951,65,Antibiotico
2023-01-27,Aspirina,199,439,0,Medio,0,485,1,0.9851608691823479,72,Antihipertensivo
2023-07-26,Amoxicilina,478,528,0,Bajo,0,355,14,0.9735153725349096,41,Antiinflamatorio
2023-03-09,Loratadina,398,617,0,Bajo,0,499,24,1.0763442052850056,38,Antibiotico
2021-06-02,Losartan,106,363,0,Bajo,0,289,13,1.0179724161623644,45,Antiinflamatorio
2024-03-21,Ibuprofeno,438,711,0,Bajo,0,115,1,0.8783117722881143,61,Analgesico
2023-05-30,Omeprazol,427,291,1,Bajo,0,218,8,1.0608100465173957,49,Antiinflamatorio
2024-01-13,Ibuprofeno,117,681,1,Medio,0,262,4,1.1754943173476664,70,Antibiotico
2022-09-13,Losartan,154,364,0,Medio,0,402,6,0.9555519623425145,22,Antihipertensivo
2023-02-16,Amoxicilina,314,556,0,Medio,0,313,20,1.132373819428555,16,Antiinflamatorio
2021-04-26,Amoxicilina,162,483,0,Bajo,0,235,15,0.8220679376295406,62,Analgesico
2023-07-18,Salbutamol,299,982,0,Medio,0,289,4,0.9038757382611619,37,Antibiotico
2023-07-31,Aspirina,473,827,0,Medio,0,143,10,0.938760435171893,15,Antiinflamatorio
2022-03-04,Simvastatina,167,841,0,Bajo,0,485,9,1.0265354632918058,70,Antibiotico
2021-07-02,Amoxicilina,125,783,0,Medio,0,171,7,1.1380310699250689,74,Antihipertensivo
2024-02-13,Amoxicilina,103,695,0,Bajo,0,372,24,0.8700565284428867,45,Antihipertensivo
2022-03-12,Salbutamol,265,777,0,Alto,0,230,22,1.128349037046448,17,Antihipertensivo
2023-11-03,Metformina,312,602,0,Bajo,0,314,5,0.8886056506957235,34,Antibiotico
2023-07-07,Omeprazol,189,803,0,Bajo,0,141,17,0.9878103733162639,66,Antiinflamatorio
2022-07-31,Aspirina,311,475,1,Medio,1,367,20,0.8211392093116523,61,Antiinflamatorio
