Fecha,Medicamento,Consumo Histórico,Inventario Actual,Brote Enfermedad (0/1),Nivel de Ingresos (Bajo/Medio/Alto),Desabastecimiento (0/1)
2021-02-10,Metformina,383,751,0,Medio,0
2023-03-06,Aspirina,368,980,0,Alto,0
2023-08-22,Omeprazol,350,552,0,Bajo,0
2023-01-01,Losartan,133,448,0,Medio,0
2023-06-22,Amoxicilina,443,799,0,Medio,0
2023-09-26,Paracetamol,465,937,0,Medio,0
2023-03-28,Metformina,347,211,0,Medio,0
2021-08-06,Ibuprofeno,79,813,0,Bajo,0
2022-09-23,Loratadina,393,344,0,Bajo,0
2021-11-25,Simvastatina,276,748,0,Bajo,0
2021-11-08,Paracetamol,498,458,0,Bajo,0
2022-01-10,Loratadina,476,538,0,Medio,0
2021-08-03,Amoxicilina,368,120,0,Medio,0
2024-06-28,Losartan,53,395,0,Medio,0
2024-05-12,Loratadina,463,102,1,Alto,0
2021-03-01,Loratadina,194,490,0,Bajo,0
2023-09-07,Omeprazol,197,198,1,Medio,0
2023-05-16,Paracetamol,477,832,0,Bajo,0
2024-05-24,Ibuprofeno,112,237,0,Medio,0
2021-06-03,Simvastatina,425,379,0,Bajo,0
2022-12-02,Aspirina,110,726,0,Alto,0
2022-06-23,Loratadina,208,930,0,Alto,0
2021-04-08,Simvastatina,186,907,0,Medio,0
2021-03-05,Ibuprofeno,141,603,0,Alto,0
2021-07-30,Amoxicilina,362,704,0,Medio,0
2023-11-03,Salbutamol,296,153,0,Alto,0
2023-08-09,Aspirina,209,969,0,Medio,0
2022-07-31,Loratadina,69,665,0,Alto,0
2023-02-27,Losartan,199,771,0,Bajo,0
2021-01-28,Omeprazol,82,664,0,Medio,0
2022-08-24,Amoxicilina,490,261,0,Bajo,0
2023-03-18,Salbutamol,437,631,0,Medio,0
2021-01-12,Aspirina,381,155,0,Medio,0
2023-01-27,Aspirina,199,439,0,Medio,0
2023-07-26,Amoxicilina,478,528,0,Bajo,0
2023-03-09,Loratadina,398,617,0,Bajo,0
2021-06-02,Losartan,106,363,0,Bajo,0
2024-03-21,Ibuprofeno,438,711,0,Bajo,0
2023-05-30,Omeprazol,427,291,1,Bajo,0
2024-01-13,Ibuprofeno,117,681,1,Medio,0
2022-09-13,Losartan,154,364,0,Medio,0
2023-02-16,Amoxicilina,314,556,0,Medio,0
2021-04-26,Amoxicilina,162,483,0,Bajo,0
2023-07-18,Salbutamol,299,982,0,Medio,0
2023-07-31,Aspirina,473,827,0,Medio,0
2022-03-04,Simvastatina,167,841,0,Bajo,0
2021-07-02,Amoxicilina,125,783,0,Medio,0
2024-02-13,Amoxicilina,103,695,0,Bajo,0
2022-03-12,Salbutamol,265,777,0,Alto,0
2023-11-03,Metformina,312,602,0,Bajo,0
2023-07-07,Omeprazol,189,803,0,Bajo,0
2022-07-31,Aspirina,311,475,1,Medio,1
2022-02-11,Metformina,479,479,0,Medio,0
2023-06-09,Salbutamol,283,832,0,Alto,0
2022-04-30,Paracetamol,325,602,0,Medio,0
2022-09-30,Loratadina,328,960,0,Bajo,0
2021-03-20,Salbutamol,446,929,0,Medio,0
2024-03-01,Paracetamol,472,475,0,Medio,0
2023-11-18,Metformina,93,703,0,Alto,0
2023-10-12,Aspirina,211,705,0,Medio,0
2023-02-28,Amoxicilina,284,985,0,Bajo,0
2023-04-26,Paracetamol,152,740,0,Bajo,0
2021-04-11,Simvastatina,444,136,0,Alto,0
2023-07-25,Amoxicilina,58,963,0,Alto,0
2021-10-21,Losartan,406,259,0,Alto,0
2022-02-10,Paracetamol,388,689,0,Medio,0
2022-02-22,Paracetamol,166,849,0,Bajo,0
2023-02-11,Losartan,417,161,0,Medio,0
2022-03-08,Salbutamol,152,985,0,Medio,0
2021-11-28,Aspirina,275,175,0,Alto,0
2023-11-20,Aspirina,190,122,0,Medio,1
2023-02-26,Losartan,419,221,0,Alto,0
2023-12-11,Losartan,466,807,0,Bajo,0
2021-03-23,Amoxicilina,438,727,0,Bajo,0
2024-05-25,Simvastatina,250,541,0,Alto,0
2021-01-22,Loratadina,448,109,0,Bajo,0
2024-05-29,Salbutamol,100,470,0,Medio,0
2021-07-13,Losartan,113,405,0,Medio,0
2023-11-24,Salbutamol,352,797,0,Medio,0
2021-11-29,Salbutamol,288,966,1,Alto,0
2024-07-25,Paracetamol,120,943,0,Medio,0
2023-11-02,Omeprazol,144,429,0,Bajo,0
2022-07-24,Metformina,306,376,0,Medio,0
2024-02-06,Amoxicilina,200,704,0,Medio,0
2024-06-24,Omeprazol,464,743,0,Medio,0
2024-01-10,Loratadina,226,536,0,Bajo,0
2023-03-14,Omeprazol,457,935,0,Bajo,0
2024-08-17,Ibuprofeno,465,658,0,Medio,0
2021-05-23,Salbutamol,74,765,0,Alto,0
2023-05-16,Simvastatina,61,543,0,Alto,0
2021-02-08,Metformina,248,969,0,Bajo,0
2021-05-20,Salbutamol,485,917,1,Bajo,0
2023-05-10,Aspirina,120,624,0,Alto,0
2022-08-03,Losartan,319,991,0,Medio,0
2021-09-08,Salbutamol,281,147,0,Medio,0
2023-05-29,Loratadina,445,836,0,Bajo,0
2023-10-28,Metformina,407,215,0,Medio,1
2023-02-28,Salbutamol,364,917,0,Bajo,0
2021-09-28,Ibuprofeno,444,884,0,Alto,0
2022-02-17,Metformina,164,112,0,Alto,0
2022-02-05,Ibuprofeno,369,988,0,Alto,0
2024-01-10,Omeprazol,308,550,0,Alto,0
2021-01-08,Omeprazol,121,241,0,Bajo,0
2021-02-08,Omeprazol,274,963,0,Medio,0
